strMID,Name,Add,City,State,Zip,strDDA1,strTR1,TotalSalesCt,TotalRefundCt,TotalDebitCt,TotalCount,TotalSalesVol,TotalRefundVol,DebitNetTotAmt,ReservePercent,HoldResBal,dblMonthlyFee,dblDailyDiscTotal,TotalChrgsForMth,Message,SortCode,UnsettSaleCt,UnsettSaleAmt,UnsettRefCt,UnsettRefAmt,Name2,Add2,City2,State2,Zip2,ERDesc,EffRate
"610100000019","FRONTLINE PROCESSING","3701 TRAKKER TRAIL STE IF","BOZEMAN","MT","59718","xxxxxx839","xxxxxx249",1,0,0,1,326.2900,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,1.8200," ","61010001001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000028","MONTANA ROCKY MOUNTAIN FUR DRE","1201 10TH AVE NORTH","GREAT FALLS","MT","59401","xxxxxx122","xxxxxx249",33,0,0,33,20003.8200,0.0000,0.0000,0.00000000e+00,0.0000,4.5688999999999999e+02,0.0000000000000000e+00,559.2900," ","61010005003001",0,0.0000,0,0.0000,,,,,," "," "
"610100000037","DOWNTOWN GARDENS","200 1ST AVE","HAVRE","MT","59501","xxxxxx143","xxxxxx249",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000," ","61010005003001",0,0.0000,0,0.0000,,,,,," "," "
"610100000046","GALLATIN VALLEY GARDEN CENTER","2121 W MAIN","BOZEMAN","MT","59718","xxxxxx646","xxxxxx683",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000," ","61010001001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000055","THE PETAL PUSHER","3139 GRELCK LN","BILLINGS","MT","59105","xxxxxx131","xxxxxx854",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000," ","61010001001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000064","DALTON RESTORATION COMPANY","928 AUBURN CT","SAVANNAH","TX","76227","xxxxxx672","xxxxxx614",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,16.1500," ","61010001001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000091","WILD WINGS HUNTS LLC","1095 3RD ROAD NE","POWER","MT","59468","xxxxxx565","xxxxxx249",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,16.1500," ","61010005003001",0,0.0000,0,0.0000,,,,,," "," "
"610100000108","HITCHING TAILS","31721 MISSION CREEK ROAD","SAINT IGNATIUS","MT","59865","xxxxxx851","xxxxxx599",1,0,0,1,36.6400,0.0000,0.0000,0.00000000e+00,0.0000,1.1299999999999999e+00,0.0000000000000000e+00,18.2800," ","61010006002000",0,0.0000,0,0.0000,,,,,," "," "
"610100000126","THE NO. 1 LADIES QUILT SHOP","34 NORTH IDAHO ST #3","DILLON","MT","59725","xxxxxx626","xxxxxx249",77,0,0,77,2670.8600,0.0000,0.0000,0.00000000e+00,0.0000,5.2549999999999997e+01,0.0000000000000000e+00,112.2000," ","61010005002001",0,0.0000,0,0.0000,,,,,," "," "
"610100000135","WALLEYES UNLIMITED OF MT","31 SALER STREET","BELGRADE","MT","59714","xxxxxx970","xxxxxx683",19,0,0,19,4765.0100,0.0000,0.0000,0.00000000e+00,0.0000,1.3611000000000001e+02,0.0000000000000000e+00,204.1200," ","61010001001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000144","COTTONWOOD COUNTRY CLUB","504 COUNTRY CLUB ROAD","GLENDIVE","MT","59330","xxxxxx038","xxxxxx249",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,16.1500," ","61010005006001",0,0.0000,0,0.0000,,,,,," "," "
"610100000153","ALTERNATIVE ENERGY SYSTEMS","4129 NORTH PARK TRAIL","GREAT FALLS","MT","59405","xxxxxx088","xxxxxx249",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,21.1500," ","61010005003001",0,0.0000,0,0.0000,,,,,," "," "
"610100000171","CENTRAL MONTANA PANELS LLC","105 TRUCK BYPASS","LEWISTOWN","MT","59457","xxxxxx599","xxxxxx249",3,0,0,3,580.0000,0.0000,0.0000,0.00000000e+00,0.0000,6.5300000000000002e+00,0.0000000000000000e+00,26.5600," ","61010005005001",0,0.0000,0,0.0000,,,,,," "," "
"610100000180","DOWNTOWN ANTIQUES","122 E MAIN","BOZEMAN","MT","59715","xxxxxx661","xxxxxx383",143,0,0,143,5263.7000,0.0000,0.0000,0.00000000e+00,0.0000,9.2500000000000000e+01,0.0000000000000000e+00,161.6000," ","61010001001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000199","DR. SHANNON JONES DDS PC","108 N. 11TH AVE","BOZEMAN","MT","59715","xxxxxx020","xxxxxx613",95,0,0,95,22891.9600,0.0000,0.0000,0.00000000e+00,0.0000,4.6724000000000001e+02,0.0000000000000000e+00,570.1100," ","61010001002000",0,0.0000,0,0.0000,,,,,," "," "
"610100000215","GEAR PODS","96 HILLCREST LN","POLSON","MT","59860","xxxxxx928","xxxxxx683",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,16.1500," ","61010001001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000224","HOT SPRINGS LUMBER AND FEED","1916 HWY 28","HOT SPRINGS","MT","59845","xxxxxx779","xxxxxx599",114,0,0,114,8079.3400,0.0000,0.0000,0.00000000e+00,0.0000,1.3322000000000000e+02,0.0000000000000000e+00,203.8300," ","61010006001000",0,0.0000,0,0.0000,,,,,," "," "
"610100000233","KITTELSONS HARDWARE STORE","105 MAIN ST.","WESTBY","MT","59275","xxxxxx073","xxxxxx249",0,0,0,0,0.0000,0.0000,0.0000,0.00000000e+00,0.0000,0.0000000000000000e+00,0.0000000000000000e+00,0.0000," ","61010005008001",0,0.0000,0,0.0000,,,,,," "," "
"610100000242","M 3 MEATS","1801 CROCUS DR","SIDNEY","MT","59270","xxxxxx963","xxxxxx249",17,0,0,17,4644.7000,0.0000,0.0000,0.00000000e+00,0.0000,7.5950000000000003e+01,0.0000000000000000e+00,122.9100," ","61010005008001",0,0.0000,0,0.0000,,,,,," "," "
"610100000251","MCMANUS MOTORS","124 N 18TH ST","BILLINGS","MT","59101","xxxxxx317","xxxxxx249",1,1,0,2,0.0100,0.0100,0.0000,0.00000000e+00,0.0000,2.6000000000000001e-01,0.0000000000000000e+00,8.9800," ","61010005001001",0,0.0000,0,0.0000,,,,,," "," "
