strMID,SumOfItem,Batch,Adjmnt,Dep,FirstOfBatchDate
"610100001633    ",9.0000000000000000e+01,3989.2400,-398.9200,3590.3200,"02/28/17 00:00:00"
"610100000910    ",1.0000000000000000e+00,3.0000,0.0000,3.0000,"02/28/17 00:00:00"
"610100001599    ",2.0000000000000000e+00,25.5000,0.0000,25.5000,"02/28/17 00:00:00"
"610100001624    ",7.0000000000000000e+00,530.0000,0.0000,530.0000,"02/28/17 00:00:00"
"610100000983    ",2.0000000000000000e+00,250.0000,0.0000,250.0000,"02/28/17 00:00:00"
"610100000974    ",4.0000000000000000e+00,104.5000,0.0000,104.5000,"02/28/17 00:00:00"
"610100000965    ",8.0000000000000000e+00,205.0000,0.0000,205.0000,"02/28/17 00:00:00"
"610100000876    ",1.0000000000000000e+00,91.2000,0.0000,91.2000,"02/28/17 00:00:00"
"610100001517    ",1.0000000000000000e+00,48.2500,0.0000,48.2500,"02/28/17 00:00:00"
"610100002115    ",1.0000000000000000e+00,1100.0000,0.0000,1100.0000,"02/28/17 00:00:00"
"610100001697    ",9.4000000000000000e+01,8920.0900,0.0000,8920.0900,"02/28/17 00:00:00"
"610100000867    ",1.0000000000000000e+00,150.0000,0.0000,150.0000,"02/28/17 00:00:00"
"610100000858    ",5.0000000000000000e+00,483.0000,0.0000,483.0000,"02/28/17 00:00:00"
"610100000796    ",4.0000000000000000e+00,105.0000,0.0000,105.0000,"02/28/17 00:00:00"
"610100001642    ",2.0000000000000000e+00,71.5000,0.0000,71.5000,"02/28/17 00:00:00"
"610100000821    ",5.0000000000000000e+00,299.8000,0.0000,299.8000,"02/28/17 00:00:00"
"610100002302    ",5.0000000000000000e+00,176.9600,0.0000,176.9600,"02/28/17 00:00:00"
"610100002213    ",2.0000000000000000e+00,4049.9800,0.0000,4049.9800,"02/28/17 00:00:00"
"610100001394    ",9.8000000000000000e+01,3084.9400,-308.4900,2776.4500,"02/28/17 00:00:00"
"610100001330    ",1.0000000000000000e+00,150.0000,0.0000,150.0000,"02/28/17 00:00:00"
"610100001456    ",2.0000000000000000e+00,540.0000,0.0000,540.0000,"02/28/17 00:00:00"
"610100001401    ",2.0000000000000000e+00,126.0000,0.0000,126.0000,"02/28/17 00:00:00"
"610100001161    ",2.0000000000000000e+00,10.9500,0.0000,10.9500,"02/28/17 00:00:00"
"610100001580    ",6.0000000000000000e+00,-81.0000,0.0000,-81.0000,"02/28/17 00:00:00"
"610100001214    ",4.0000000000000000e+00,60.0000,0.0000,60.0000,"02/28/17 00:00:00"
"610100001269    ",7.0000000000000000e+00,431.6000,0.0000,431.6000,"02/28/17 00:00:00"
"610100001232    ",1.0000000000000000e+00,300.0000,0.0000,300.0000,"02/28/17 00:00:00"
"610100001189    ",1.9000000000000000e+01,2701.7500,0.0000,2701.7500,"02/28/17 00:00:00"
"610100001562    ",1.0000000000000000e+00,9.5000,0.0000,9.5000,"02/28/17 00:00:00"
"610100001198    ",3.0000000000000000e+00,9714.9000,0.0000,9714.9000,"02/28/17 00:00:00"
"610100002259    ",5.0000000000000000e+00,234.5000,0.0000,234.5000,"02/28/17 00:00:00"
"610100000028    ",2.0000000000000000e+00,957.5800,0.0000,957.5800,"02/28/17 00:00:00"
"610100001937    ",4.0000000000000000e+00,169.9200,-16.9900,152.9300,"02/28/17 00:00:00"
"610100000288    ",2.0000000000000000e+00,206.5000,0.0000,206.5000,"02/28/17 00:00:00"
"610100000322    ",3.0000000000000000e+00,140.6500,0.0000,140.6500,"02/28/17 00:00:00"
"610100000331    ",1.0000000000000000e+01,290.6900,0.0000,290.6900,"02/28/17 00:00:00"
"610100001786    ",1.0000000000000000e+00,56.0000,0.0000,56.0000,"02/28/17 00:00:00"
"610100000199    ",3.0000000000000000e+00,782.0000,0.0000,782.0000,"02/28/17 00:00:00"
"610100001946    ",4.0000000000000000e+00,644.7000,0.0000,644.7000,"02/28/17 00:00:00"
"610100000224    ",1.0000000000000000e+00,14.0000,0.0000,14.0000,"02/28/17 00:00:00"
"610100001866    ",1.0000000000000000e+01,339.5000,0.0000,339.5000,"02/28/17 00:00:00"
"610100000180    ",4.0000000000000000e+00,188.0000,0.0000,188.0000,"02/28/17 00:00:00"
"610100001955    ",2.9000000000000000e+01,-441.0300,0.0000,-441.0300,"02/28/17 00:00:00"
"610100000126    ",1.0000000000000000e+00,102.0400,0.0000,102.0400,"02/28/17 00:00:00"
"610100001839    ",1.0000000000000000e+00,1576.6000,0.0000,1576.6000,"02/28/17 00:00:00"
"610100000279    ",3.3000000000000000e+01,279.7500,0.0000,279.7500,"02/28/17 00:00:00"
"610100000536    ",5.0000000000000000e+00,57.3500,0.0000,57.3500,"02/28/17 00:00:00"
"610100000493    ",6.0000000000000000e+00,769.0800,0.0000,769.0800,"02/28/17 00:00:00"
"610100001704    ",1.0000000000000000e+00,11.0000,0.0000,11.0000,"02/28/17 00:00:00"
"610100001893    ",1.0000000000000000e+00,92.0000,0.0000,92.0000,"02/28/17 00:00:00"
"610100000545    ",1.3000000000000000e+01,184.3500,0.0000,184.3500,"02/28/17 00:00:00"
"610100002026    ",1.0000000000000000e+00,62.0000,0.0000,62.0000,"02/28/17 00:00:00"
"610100000448    ",1.0000000000000000e+00,415.8900,0.0000,415.8900,"02/28/17 00:00:00"
"610100001919    ",4.0000000000000000e+00,3400.0000,0.0000,3400.0000,"02/28/17 00:00:00"
"610100001759    ",4.0000000000000000e+00,31.9400,0.0000,31.9400,"02/28/17 00:00:00"
"610100002017    ",8.0000000000000000e+00,287.2500,0.0000,287.2500,"02/28/17 00:00:00"
"610100000340    ",7.0000000000000000e+00,170.2500,0.0000,170.2500,"02/28/17 00:00:00"
"610100000359    ",6.0000000000000000e+00,54.0000,0.0000,54.0000,"02/28/17 00:00:00"
"610100001740    ",2.0000000000000000e+00,284.0700,0.0000,284.0700,"02/28/17 00:00:00"
"610100001893    ",1.0000000000000000e+00,43.0000,0.0000,43.0000,"03/01/17 00:00:00"
"610100001544    ",6.0000000000000000e+00,49.5000,0.0000,49.5000,"03/01/17 00:00:00"
"610100001875    ",2.1000000000000000e+01,1499.9100,0.0000,1499.9100,"03/01/17 00:00:00"
"610100001759    ",8.0000000000000000e+00,79.3700,0.0000,79.3700,"03/01/17 00:00:00"
"610100001633    ",1.1980000000000000e+03,64798.8400,-6479.8800,58318.9600,"03/01/17 00:00:00"
"610100001740    ",2.0000000000000000e+00,246.7000,0.0000,246.7000,"03/01/17 00:00:00"
"610100001580    ",1.0000000000000000e+00,21.9900,-2.2000,19.7900,"03/01/17 00:00:00"
"610100001642    ",1.0000000000000000e+00,2.0000,0.0000,2.0000,"03/01/17 00:00:00"
"610100001704    ",8.0000000000000000e+00,6581.0000,0.0000,6581.0000,"03/01/17 00:00:00"
"610100001651    ",9.0000000000000000e+00,112.7500,0.0000,112.7500,"03/01/17 00:00:00"
"610100001697    ",1.0900000000000000e+02,13045.3500,0.0000,13045.3500,"03/01/17 00:00:00"
"610100001562    ",1.4000000000000000e+01,319.0000,0.0000,319.0000,"03/01/17 00:00:00"
"610100001624    ",7.0000000000000000e+00,568.0000,0.0000,568.0000,"03/01/17 00:00:00"
"610100001795    ",1.5000000000000000e+01,511.1000,0.0000,511.1000,"03/01/17 00:00:00"
"610100001599    ",3.0000000000000000e+00,34.0000,0.0000,34.0000,"03/01/17 00:00:00"
"610100001553    ",3.0000000000000000e+00,84.7500,0.0000,84.7500,"03/01/17 00:00:00"
"610100000368    ",1.0000000000000000e+01,172.9000,0.0000,172.9000,"03/01/17 00:00:00"
"610100000714    ",1.0000000000000000e+00,500.0000,0.0000,500.0000,"03/01/17 00:00:00"
"610100000340    ",6.0000000000000000e+00,173.4500,0.0000,173.4500,"03/01/17 00:00:00"
"610100000331    ",1.3000000000000000e+01,428.7600,0.0000,428.7600,"03/01/17 00:00:00"
"610100000359    ",5.0000000000000000e+00,51.0000,0.0000,51.0000,"03/01/17 00:00:00"
"610100000536    ",4.0000000000000000e+00,76.0500,0.0000,76.0500,"03/01/17 00:00:00"
