strMID,SumOfItem,Batch,Adjmnt,Dep,FirstOfBatchDate
"610100001250    ",4.0000000000000000e+00,88.0000,0.0000,88.0000,"03/16/17 00:00:00"
"610100001214    ",8.0000000000000000e+00,330.9500,0.0000,330.9500,"03/16/17 00:00:00"
"610100001198    ",1.0000000000000000e+00,3934.6000,0.0000,3934.6000,"03/16/17 00:00:00"
"610100001189    ",2.5000000000000000e+01,2295.5000,0.0000,2295.5000,"03/16/17 00:00:00"
"610100001456    ",1.0000000000000000e+00,160.0000,0.0000,160.0000,"03/16/17 00:00:00"
"610100001438    ",6.0000000000000000e+00,133.5000,0.0000,133.5000,"03/16/17 00:00:00"
"610100001394    ",2.2300000000000000e+02,6745.3000,-337.2600,6408.0400,"03/16/17 00:00:00"
"610100001385    ",1.0000000000000000e+00,2834.0500,0.0000,2834.0500,"03/16/17 00:00:00"
"610100001330    ",1.0000000000000000e+00,155.0000,0.0000,155.0000,"03/16/17 00:00:00"
"610100000867    ",1.0000000000000000e+00,80.0000,0.0000,80.0000,"03/16/17 00:00:00"
"610100000910    ",2.0000000000000000e+00,95.0000,0.0000,95.0000,"03/16/17 00:00:00"
"610100000965    ",7.0000000000000000e+00,129.7500,0.0000,129.7500,"03/16/17 00:00:00"
"610100000821    ",4.0000000000000000e+00,193.7200,0.0000,193.7200,"03/16/17 00:00:00"
"610100000796    ",1.0000000000000000e+00,30.0000,0.0000,30.0000,"03/16/17 00:00:00"
"610100001161    ",1.3000000000000000e+01,56.0100,0.0000,56.0100,"03/16/17 00:00:00"
"610100001054    ",1.0000000000000000e+00,42.6000,-4.2600,38.3400,"03/16/17 00:00:00"
"610100001036    ",1.0000000000000000e+00,293.7100,0.0000,293.7100,"03/16/17 00:00:00"
"610100000938    ",1.0000000000000000e+00,20.0000,0.0000,20.0000,"03/16/17 00:00:00"
"610100001027    ",1.0000000000000000e+00,160.0000,0.0000,160.0000,"03/16/17 00:00:00"
"610100000983    ",2.0000000000000000e+00,470.0000,0.0000,470.0000,"03/16/17 00:00:00"
"610100000974    ",6.0000000000000000e+00,679.2200,0.0000,679.2200,"03/16/17 00:00:00"
"610100001170    ",1.3000000000000000e+01,411.8000,0.0000,411.8000,"03/16/17 00:00:00"
"610100001759    ",2.3000000000000000e+01,191.7600,0.0000,191.7600,"03/16/17 00:00:00"
"610100001795    ",4.6000000000000000e+01,1393.2000,0.0000,1393.2000,"03/16/17 00:00:00"
"610100001786    ",2.0000000000000000e+00,120.0000,0.0000,120.0000,"03/16/17 00:00:00"
"610100001704    ",5.0000000000000000e+00,314.0000,0.0000,314.0000,"03/16/17 00:00:00"
"610100001697    ",1.1800000000000000e+02,11405.6900,0.0000,11405.6900,"03/16/17 00:00:00"
"610100001955    ",5.4000000000000000e+01,1522.7100,-304.5400,1218.1700,"03/16/17 00:00:00"
"610100001937    ",1.9000000000000000e+01,359.8600,-35.9900,323.8700,"03/16/17 00:00:00"
"610100001893    ",1.0000000000000000e+00,76.0500,0.0000,76.0500,"03/16/17 00:00:00"
"610100001866    ",3.1000000000000000e+01,793.1100,0.0000,793.1100,"03/16/17 00:00:00"
"610100001688    ",1.0000000000000000e+00,65.0000,0.0000,65.0000,"03/16/17 00:00:00"
"610100001919    ",1.0000000000000000e+00,850.0000,0.0000,850.0000,"03/16/17 00:00:00"
"610100001553    ",4.0000000000000000e+00,92.0000,0.0000,92.0000,"03/16/17 00:00:00"
"610100001580    ",1.0000000000000000e+00,26.9900,-2.7000,24.2900,"03/16/17 00:00:00"
"610100001562    ",8.0000000000000000e+00,133.2500,0.0000,133.2500,"03/16/17 00:00:00"
"610100001544    ",7.0000000000000000e+00,98.0000,0.0000,98.0000,"03/16/17 00:00:00"
"610100001526    ",1.0000000000000000e+00,210.0000,0.0000,210.0000,"03/16/17 00:00:00"
"610100000778    ",3.0000000000000000e+00,902.1600,0.0000,902.1600,"03/16/17 00:00:00"
"610100001651    ",1.3000000000000000e+01,145.2500,0.0000,145.2500,"03/16/17 00:00:00"
"610100001642    ",1.0000000000000000e+00,4.5000,0.0000,4.5000,"03/16/17 00:00:00"
"610100001624    ",3.0000000000000000e+00,315.0000,0.0000,315.0000,"03/16/17 00:00:00"
"610100001599    ",6.0000000000000000e+00,120.0000,0.0000,120.0000,"03/16/17 00:00:00"
"610100001517    ",4.0000000000000000e+00,72.5000,0.0000,72.5000,"03/16/17 00:00:00"
"610100001633    ",6.0000000000000000e+01,2582.6400,-129.1300,2453.5100,"03/16/17 00:00:00"
"610100000359    ",5.0000000000000000e+00,30.2500,0.0000,30.2500,"03/16/17 00:00:00"
"610100000368    ",5.0000000000000000e+00,99.8000,0.0000,99.8000,"03/16/17 00:00:00"
"610100000322    ",3.0000000000000000e+00,700.0500,0.0000,700.0500,"03/16/17 00:00:00"
"610100000493    ",2.0000000000000000e+00,916.4400,0.0000,916.4400,"03/16/17 00:00:00"
"610100000331    ",1.6000000000000000e+01,397.5300,0.0000,397.5300,"03/16/17 00:00:00"
"610100001232    ",2.0000000000000000e+00,462.5000,0.0000,462.5000,"03/16/17 00:00:00"
"610100000698    ",1.0000000000000000e+00,150.0000,0.0000,150.0000,"03/16/17 00:00:00"
"610100000661    ",1.0000000000000000e+00,500.0000,0.0000,500.0000,"03/16/17 00:00:00"
"610100000439    ",1.0000000000000000e+00,225.0000,0.0000,225.0000,"03/16/17 00:00:00"
"610100000475    ",1.0000000000000000e+00,217.3700,0.0000,217.3700,"03/16/17 00:00:00"
"610100000545    ",1.3000000000000000e+01,240.1000,0.0000,240.1000,"03/16/17 00:00:00"
"610100000536    ",9.0000000000000000e+00,176.5100,0.0000,176.5100,"03/16/17 00:00:00"
"610100000554    ",2.0000000000000000e+00,107.7000,0.0000,107.7000,"03/16/17 00:00:00"
"610100000073    ",4.0000000000000000e+00,44.0000,0.0000,44.0000,"03/16/17 00:00:00"
"610100000180    ",3.0000000000000000e+00,41.0000,0.0000,41.0000,"03/16/17 00:00:00"
"610100000108    ",1.0000000000000000e+00,36.6400,0.0000,36.6400,"03/16/17 00:00:00"
"610100000028    ",2.0000000000000000e+00,1180.1900,0.0000,1180.1900,"03/16/17 00:00:00"
"610100000126    ",1.0000000000000000e+00,100.0000,0.0000,100.0000,"03/16/17 00:00:00"
"610100000313    ",7.0000000000000000e+00,198.2500,0.0000,198.2500,"03/16/17 00:00:00"
"610100000288    ",5.0000000000000000e+00,459.5000,0.0000,459.5000,"03/16/17 00:00:00"
"610100000279    ",2.4000000000000000e+01,151.3000,0.0000,151.3000,"03/16/17 00:00:00"
