strMID,Group,SortPri,SortSec,Desc,Rate,TranCount,TranVolume,Fee,BillTypeInd
"610100001161","Discount","6","1","Debit EBT"," ",,,54.2000,"S"
"610100001161","Discount","6","1","Debit Interlink"," ",,,0.4200,"S"
"610100001759","Discount","6","1","Debit EBT"," ",518,4711.2600,103.6000,"C"
"610100000028",,"1","10","V Comm Stnd","3.15% + $0.14",6,5490.6500,173.8000,"C"
"610100000028",,"1","10","V EIRF","2.5% + $0.14",6,3192.1100,80.6400,"C"
"610100000028",,"1","10","V CPS Retail","1.71% + $0.14",1,759.7900,13.1300,"C"
"610100000073",,"1","10","V Comm Stnd","3.15% + $0.14",1,400.0000,12.7400,"C"
"610100000073",,"1","10","V EIRF","2.5% + $0.14",1,45.0000,1.2700,"C"
"610100000126",,"1","10","V CPS Retail","1.71% + $0.14",2,219.5000,4.0300,"C"
"610100000135",,"1","10","V Standard"," ",,,25.3600,"S"
"610100000135",,"1","10","V Comm Stnd"," ",,,31.5800,"S"
"610100000171",,"1","10","V EIRF","2.5% + $0.14",1,12.0000,0.4400,"C"
"610100000199",,"1","10","V EIRF","2.45% + $0.14",3,308.2500,7.9700,"C"
"610100000199",,"1","10","V CPS Retail","1.66% + $0.14",1,30.0000,0.6400,"C"
"610100000224",,"1","10","V EIRF","2.5% + $0.14",2,118.0800,3.2300,"C"
"610100000224",,"1","10","V CPS Retail","1.71% + $0.14",4,892.7900,15.8300,"C"
"610100000288",,"1","10","V Comm Stnd"," ",,,2.5400,"S"
"610100000288",,"1","10","V EIRF"," ",,,5.1700,"S"
"610100000313",,"1","10","V Sig Elecl","2.5% + $0.14",7,550.2500,14.7400,"C"
"610100000322",,"1","10","V Comm Stnd","3.15% + $0.14",1,30.0000,1.0900,"C"
"610100000322",,"1","10","V CPS Retail","1.71% + $0.14",3,207.6700,3.9700,"C"
"610100000331",,"1","10","V Standard","2.9% + $0.14",3,89.7300,3.0200,"C"
"610100000331",,"1","10","V Comm Stnd","3.15% + $0.14",4,317.9600,10.5800,"C"
"610100000331",,"1","10","V EIRF","2.5% + $0.14",7,219.4500,6.4700,"C"
"610100000331",,"1","10","V Sig Elecl","2.5% + $0.14",7,162.2700,5.0400,"C"
"610100000340",,"1","10","V Standard","2.9% + $0.14",2,31.5000,1.1900,"C"
"610100000340",,"1","10","V Comm Stnd","3.15% + $0.14",3,65.0000,2.4700,"C"
"610100000340",,"1","10","V EIRF","2.5% + $0.14",1,13.0000,0.4700,"C"
"610100000340",,"1","10","V Bus T1 Electronic","2.6% + $0.14",2,628.0500,16.6100,"C"
"610100000340",,"1","10","V Sig Elecl","2.5% + $0.14",10,436.5500,12.3100,"C"
"610100000368",,"1","10","V Sig Elecl","2.5% + $0.14",8,228.9500,6.8400,"C"
"610100000448",,"1","10","V CPS Card Not Pres","1.95% + $0.14",4,265.8100,5.7400,"C"
"610100000475",,"1","10","V CPS Card Not Pres","1.95% + $0.14",1,469.0700,9.2900,"C"
"610100000493",,"1","10","V Comm Stnd","3.15% + $0.14",1,218.3700,7.0200,"C"
"610100000493",,"1","10","V EIRF","2.5% + $0.14",2,295.6600,7.6700,"C"
"610100000493",,"1","10","V CPS Retail","1.71% + $0.14",3,983.6100,17.2400,"C"
"610100000527",,"1","10","V Comm Stnd","3.15% + $0.14",1,2403.9300,75.8600,"C"
"610100000545",,"1","10","V CPS Retail","1.71% + $0.14",1,32.0000,0.6900,"C"
"610100000796",,"1","10","V EIRF","2.5% + $0.14",1,25.0000,0.7700,"C"
"610100000821",,"1","10","V EIRF","2.45% + $0.14",1,73.3700,1.9400,"C"
"610100000821",,"1","10","V CPS Retail","1.66% + $0.14",1,52.2600,1.0100,"C"
"610100000858",,"1","10","V CPS Retail","1.66% + $0.14",4,645.0000,11.2700,"C"
"610100000867",,"1","10","V Comm Stnd","3.15% + $0.14",1,432.9500,13.7800,"C"
"610100000876",,"1","10","V Comm Stnd","3.15% + $0.14",1,226.8000,7.2800,"C"
"610100000910",,"1","10","V EIRF","2.45% + $0.14",1,595.0000,14.7200,"C"
"610100000910",,"1","10","V CPS Retail","1.66% + $0.14",1,30.0000,0.6400,"C"
"610100000938",,"1","10","V CPS Card Not Pres","1.95% + $0.14",4,252.0000,5.4700,"C"
"610100000956",,"1","10","V CPS Retail","1.66% + $0.14",1,275.0000,4.7100,"C"
"610100000965",,"1","10","V Standard","2.9% + $0.14",3,94.5000,3.1600,"C"
"610100000974",,"1","10","V EIRF","2.5% + $0.14",2,266.9300,6.9500,"C"
"610100000974",,"1","10","V CPS Retail","1.71% + $0.14",2,195.0000,3.6100,"C"
"610100000983",,"1","10","V CPS Retail","1.71% + $0.14",1,20.0000,0.4800,"C"
"610100001036",,"1","10","V CPS Card Not Pres","1.95% + $0.14",2,557.3100,11.1500,"C"
"610100001081",,"1","10","V Comm Stnd","3.1% + $0.14",1,40.0000,1.3800,"C"
"610100001107",,"1","10","V CPS Card Not Pres","2% + $0.14",1,570.0000,11.5400,"C"
"610100001116",,"1","10","V Comm Stnd","3.1% + $0.14",2,995.0000,31.1300,"C"
"610100001116",,"1","10","V EIRF","2.45% + $0.14",1,170.0000,4.3100,"C"
"610100001170",,"1","10","V EIRF","2.45% + $0.14",1,54.0000,1.4600,"C"
"610100001170",,"1","10","V CPS Card Not Pres","1.95% + $0.14",19,398.0000,10.4200,"C"
"610100001189",,"1","10","V Bus T1 Electronic"," ",,,35.6100,"S"
"610100001189",,"1","10","V Sig Elecl"," ",,,134.5400,"S"
"610100001198",,"1","10","V EIRF"," ",,,15.2600,"S"
"610100001214",,"1","10","V CPS Retail","1.66% + $0.14",3,389.7000,6.8900,"C"
"610100001250",,"1","10","V CPS Card Not Pres","1.95% + $0.14",1,72.0000,1.5400,"C"
"610100001269",,"1","10","V Standard","2.9% + $0.14",14,1539.8400,46.6200,"C"
"610100001269",,"1","10","V EIRF","2.5% + $0.14",5,324.7300,8.8200,"C"
"610100001269",,"1","10","V Bus T1 Electronic","2.6% + $0.14",8,1349.8300,36.2200,"C"
"610100001269",,"1","10","V CPS Retail","1.71% + $0.14",5,319.5700,6.1600,"C"
"610100001269",,"1","10","V Hotel/Car Rental 2","1.74% + $0.14",7,1258.1200,22.8700,"C"
"610100001269",,"1","10","V Sig Elecl","2.5% + $0.14",30,2387.0900,63.8800,"C"
"610100001330",,"1","10","V Comm Stnd","3.1% + $0.14",3,225.0000,7.4000,"C"
"610100001330",,"1","10","V CPS Retail","1.66% + $0.14",1,150.0000,2.6300,"C"
"610100001385",,"1","10","V EIRF","2.5% + $0.14",1,4331.9000,108.4400,"C"
"610100001394",,"1","10","V CPS Card Not Pres"," ",,,319.5900,"S"
"610100001401",,"1","10","V CPS Retail 2","1.63% + $0.09",5,511.0000,8.7800,"C"
"610100001438",,"1","10","V CPS Retail","1.66% + $0.14",4,64.2500,1.6300,"C"
"610100001456",,"1","10","V Comm Stnd","2.95% + $0.10",4,2447.2400,72.5900,"C"
"610100001456",,"1","10","V EIRF","2.3% + $0.10",4,2173.3900,50.3900,"C"
"610100001517",,"1","10","V Standard","2.9% + $0.14",2,74.0000,2.4300,"C"
"610100001517",,"1","10","V EIRF","2.5% + $0.14",2,31.5000,1.0700,"C"
"610100001517",,"1","10","V Sig Elecl","2.5% + $0.14",11,363.2500,10.6200,"C"
"610100001526",,"1","10","V CPS Retail","1.71% + $0.14",2,432.7900,7.6800,"C"
"610100001544",,"1","10","V Comm Stnd","3.15% + $0.14",1,66.2500,2.2300,"C"
"610100001553",,"1","10","V Comm Stnd","3.15% + $0.14",1,25.0000,0.9300,"C"
"610100001553",,"1","10","V CPS Retail","1.71% + $0.14",6,145.0000,3.3200,"C"
"610100001562",,"1","10","V Comm Stnd","3.15% + $0.14",2,125.0000,4.2200,"C"
"610100001562",,"1","10","V CPS Retail","1.71% + $0.14",1,19.0000,0.4600,"C"
"610100001615",,"1","10","V CPS Retail","1.71% + $0.14",1,53.0000,1.0500,"C"
"610100001624",,"1","10","V EIRF","2.45% + $0.14",2,107.0000,2.9000,"C"
"610100001624",,"1","10","V CPS Retail","1.66% + $0.14",2,216.0000,3.8700,"C"
"610100001633",,"1","10","V CPS Card Not Pres","1.95% + $0.14",123,6572.3900,145.3800,"C"
"610100001642",,"1","10","V CPS Retail","1.71% + $0.14",2,251.7500,4.5800,"C"
"610100001651",,"1","10","V Bus T1 Electronic","2.6% + $0.14",2,49.2500,1.5600,"C"
"610100001651",,"1","10","V Sig Elecl","2.5% + $0.14",9,238.5000,7.2200,"C"
"610100001679",,"1","10","V CPS Retail 2","1.58% + $0.09",1,890.0000,14.1500,"C"
"610100001697",,"1","10","V EIRF","2.45% + $0.14",6,1025.3900,25.9600,"C"
"610100001697",,"1","10","V CPS Retail","1.66% + $0.14",70,10160.4500,178.4600,"C"
"610100001704",,"1","10","V EIRF"," ",,,38.5700,"S"
"610100001704",,"1","10","V CPS Retail"," ",,,1.3400,"S"
"610100001786",,"1","10","V EIRF","2.5% + $0.14",5,355.0000,9.5800,"C"
"610100001786",,"1","10","V CPS Retail","1.71% + $0.14",2,136.0000,2.6100,"C"
"610100001795",,"1","10","V Comm Stnd","3.15% + $0.14",5,320.4000,10.7900,"C"
"610100001795",,"1","10","V CPS Retail","1.71% + $0.14",29,919.7000,19.7900,"C"
"610100001839",,"1","10","V Comm Stnd","3.15% + $0.14",1,1576.6000,49.8000,"C"
"610100001839",,"1","10","V EIRF","2.5% + $0.14",1,3940.8500,98.6600,"C"
"610100001857",,"1","10","V Comm Stnd","3.1% + $0.14",1,309.0000,9.7200,"C"
"610100001857",,"1","10","V EIRF","2.45% + $0.14",5,2226.1300,55.2400,"C"
"610100001866",,"1","10","V Standard","2.9% + $0.14",3,103.0000,3.4100,"C"
"610100001866",,"1","10","V Comm Stnd","3.15% + $0.14",4,196.0000,6.7300,"C"
"610100001866",,"1","10","V EIRF","2.5% + $0.14",4,175.2500,4.9400,"C"
"610100001866",,"1","10","V Bus T1 Electronic","2.6% + $0.14",3,67.0000,2.1600,"C"
"610100001866",,"1","10","V Sig Elecl","2.5% + $0.14",16,412.7500,12.5600,"C"
