strMID,Group,TranCode,Desc,Rate,Count,Fee
"610100001009","Card Brand","911","V Dues/Assess",,4.8882999999999998e+02,0.6400
"610100001009","Card Brand","912","MC Dues/Assess",,1.9698299999999999e+03,2.7500
"610100001009","Card Brand","914","NABU",,,0.0300
"610100001009","Card Brand","915","APF Credit",,,0.0600
"610100001009","Card Brand","924","APF Debit",,,0.1200
"610100001009","Card Brand","935","File Transfer",1.79999997e-03,8.0000000000000000e+00,0.0100
"610100001009","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001027","Miscellaneous","036","Monthly Fee",8.00000000e+00,1.0000000000000000e+00,8.0000
"610100001027    ","Miscellaneous","056","Batch Fee",2.50000000e-01,2.0000000000000000e+01,5.0000
"610100001027","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001027","Miscellaneous","165","Mnthly Discount",7.00000022e-03,7.7500000000000000e+03,54.2500
"610100001027","Miscellaneous","168","AVS Fee",5.00000007e-02,7.7000000000000000e+01,3.8500
"610100001027","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001027","Card Brand","911","V Dues/Assess",,4.3450000000000000e+03,5.6500
"610100001027","Card Brand","912","MC Dues/Assess",,2.8950000000000000e+03,3.4700
"610100001027","Card Brand","913","D Dues/Assess",,1.7000000000000000e+02,0.2200
"610100001027","Card Brand","914","NABU",,,0.8100
"610100001027","Card Brand","915","APF Credit",,,0.4400
"610100001027","Card Brand","919","DUC",1.95000004e-02,2.0000000000000000e+00,0.0400
"610100001027","Card Brand","924","APF Debit",,,0.4600
"610100001027","Card Brand","926","FANF",1.50000000e+01,1.0000000000000000e+00,15.0000
"610100001027","Card Brand","927","DNAF",2.49999994e-03,3.0000000000000000e+00,0.0100
"610100001027","Card Brand","929","DEF",9.99999975e-05,2.8950000000000000e+03,0.2900
"610100001027","Card Brand","930","AXP Network",1.50000001e-03,3.4000000000000000e+02,0.5100
"610100001027","Card Brand","935","File Transfer",1.79999997e-03,4.2000000000000000e+01,0.0800
"610100001027","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001036","Miscellaneous","036","Monthly Fee",5.00000000e+00,1.0000000000000000e+00,5.0000
"610100001036    ","Miscellaneous","056","Batch Fee",2.50000000e-01,1.2000000000000000e+01,3.0000
"610100001036","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001036","Miscellaneous","164","Transaction Fee",1.00000001e-01,1.6000000000000000e+01,1.6000
"610100001036","Miscellaneous","165","Mnthly Discount",1.00000005e-03,7.3583500000000004e+03,7.3600
"610100001036","Miscellaneous","168","AVS Fee",5.00000007e-02,1.8000000000000000e+01,0.9000
"610100001036","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001036","Card Brand","911","V Dues/Assess",,4.5404499999999998e+03,5.9000
"610100001036","Card Brand","912","MC Dues/Assess",,2.5246399999999999e+03,3.2300
"610100001036","Card Brand","914","NABU",,,0.1200
"610100001036","Card Brand","915","APF Credit",,,0.1800
"610100001036","Card Brand","924","APF Debit",,,0.0800
"610100001036","Card Brand","926","FANF",7.00000000e+00,1.0000000000000000e+00,7.0000
"610100001036","Card Brand","928","CVC 2",2.49999994e-03,4.0000000000000000e+00,0.0100
"610100001036","Card Brand","929","DEF",9.99999975e-05,2.5246399999999999e+03,0.2500
"610100001036","Card Brand","930","AXP Network",1.50000001e-03,2.9325999999999999e+02,0.4400
"610100001036","Card Brand","935","File Transfer",1.79999997e-03,1.1000000000000000e+01,0.0200
"610100001036","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001045","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001045","Miscellaneous","165","Mnthly Discount",4.99999989e-03,1.5525000000000000e+02,0.7800
"610100001045","Miscellaneous","168","AVS Fee",5.00000007e-02,3.0000000000000000e+00,0.1500
"610100001045","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001045","Card Brand","911","V Dues/Assess",,1.5525000000000000e+02,0.2000
"610100001045","Card Brand","915","APF Credit",,,0.0600
"610100001045","Card Brand","935","File Transfer",1.79999997e-03,3.0000000000000000e+00,0.0100
"610100001045","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001054","Miscellaneous","036","Monthly Fee",1.00000000e+01,1.0000000000000000e+00,10.0000
"610100001054    ","Miscellaneous","056","Batch Fee",2.50000000e-01,7.0000000000000000e+00,1.7500
"610100001054","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001054","Miscellaneous","165","Mnthly Discount",2.49999994e-03,1.7633499999999999e+03,4.4100
"610100001054","Miscellaneous","168","AVS Fee",5.00000007e-02,2.0000000000000000e+00,0.1000
"610100001054","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001054","Miscellaneous","233","Risk Discount",,1.7633499999999999e+03,35.2700
"610100001054","Card Brand","911","V Dues/Assess",,1.6781500000000001e+03,2.1800
"610100001054","Card Brand","913","D Dues/Assess",,8.5200000000000003e+01,0.1100
"610100001054","Card Brand","915","APF Credit",,,0.0800
"610100001054","Card Brand","919","DUC",1.95000004e-02,1.0000000000000000e+00,0.0200
"610100001054","Card Brand","924","APF Debit",,,0.1400
"610100001054","Card Brand","926","FANF",2.04999995e+00,1.0000000000000000e+00,2.0500
"610100001054","Card Brand","935","File Transfer",1.79999997e-03,1.1000000000000000e+01,0.0200
"610100001054","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001072","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001081    ","Miscellaneous","056","Batch Fee",2.50000000e-01,2.0000000000000000e+00,0.5000
"610100001081","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001081","Miscellaneous","165","Mnthly Discount",4.99999989e-03,8.5000000000000000e+01,0.4300
"610100001081","Miscellaneous","168","AVS Fee",5.00000007e-02,3.0000000000000000e+00,0.1500
"610100001081","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001081","Card Brand","911","V Dues/Assess",,4.0000000000000000e+01,0.0500
"610100001081","Card Brand","912","MC Dues/Assess",,4.5000000000000000e+01,0.0500
"610100001081","Card Brand","914","NABU",,,0.0600
"610100001081","Card Brand","915","APF Credit",,,0.0200
"610100001081","Card Brand","928","CVC 2",2.49999994e-03,2.0000000000000000e+00,0.0100
"610100001081","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001107    ","Miscellaneous","056","Batch Fee",2.50000000e-01,5.0000000000000000e+00,1.2500
"610100001107","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001107","Miscellaneous","165","Mnthly Discount",4.99999989e-03,2.7548400000000001e+03,13.7700
"610100001107","Miscellaneous","168","AVS Fee",5.00000007e-02,6.0000000000000000e+00,0.3000
"610100001107","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001107","Miscellaneous","233","Risk Discount",,2.7548400000000001e+03,6.8900
"610100001107","Card Brand","911","V Dues/Assess",,2.7548400000000001e+03,3.5800
"610100001107","Card Brand","915","APF Credit",,,0.1200
"610100001107","Card Brand","926","FANF",7.00000000e+00,1.0000000000000000e+00,7.0000
"610100001107","Card Brand","935","File Transfer",1.79999997e-03,6.0000000000000000e+00,0.0100
"610100001107","Card Brand","936","MLocation Fee",1.25000000e+00,1.0000000000000000e+00,1.2500
"610100001116    ","Miscellaneous","056","Batch Fee",2.50000000e-01,1.0000000000000000e+00,0.2500
"610100001116","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001116","Miscellaneous","165","Mnthly Discount",4.99999989e-03,1.5960000000000000e+03,7.9800
"610100001116","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100001116","Card Brand","911","V Dues/Assess",,1.4160000000000000e+03,1.8400
"610100001116","Card Brand","912","MC Dues/Assess",,1.8000000000000000e+02,0.2200
"610100001116","Card Brand","914","NABU",,,0.0600
"610100000019","Card Brand","911","V Dues/Assess",,,0.4200
"610100000019","Card Brand","914","NABU",,,0.1200
"610100000019","Card Brand","924","APF Debit",,,0.0200
"610100000019","Card Brand","928","CVC 2",,,0.0100
"610100000019","Card Brand","936","MLocation Fee",,,1.2500
"610100000028","Miscellaneous","036","Monthly Fee",5.00000000e+00,1.0000000000000000e+00,5.0000
"610100000028    ","Miscellaneous","056","Batch Fee",2.50000000e-01,1.2000000000000000e+01,3.0000
"610100000028","Miscellaneous","138","Regulatory Monthly",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100000028","Miscellaneous","164","Transaction Fee",1.00000001e-01,3.3000000000000000e+01,3.3000
"610100000028","Miscellaneous","165","Mnthly Discount",1.50000001e-03,2.0003820000000000e+04,30.0100
"610100000028","Miscellaneous","168","AVS Fee",5.00000007e-02,3.6000000000000000e+01,1.8000
"610100000028","Miscellaneous","217","Merchant Protection",4.94999981e+00,1.0000000000000000e+00,4.9500
"610100000028","Card Brand","911","V Dues/Assess",,1.7434180000000000e+04,22.6600
"610100000028","Card Brand","912","MC Dues/Assess",,2.5696399999999999e+03,3.0800
"610100000028","Card Brand","914","NABU",,,0.2000
"610100000028","Card Brand","915","APF Credit",,,1.1500
"610100000028","Card Brand","924","APF Debit",,,0.3000
"610100000028","Card Brand","925","Trans Integrity",1.00000001e-01,5.0000000000000000e+00,0.5000
"610100000028","Card Brand","926","FANF",1.61900005e+01,1.0000000000000000e+00,16.1900
"610100000028","Card Brand","928","CVC 2",2.49999994e-03,4.0000000000000000e+00,0.0100
"610100000028","Card Brand","935","File Transfer",1.79999997e-03,2.8000000000000000e+01,0.0500
